id,person_id,book,content,is_review
29,18262,唐詩大辭典 修訂本,"【生卒】：650—676，有生于649、648，卒于667等說
    字子安，絳州龍門(今山西河津)人。出身望族，祖父王通為隋末大儒。王勃早慧，為時所稱。高宗麟德三年(666)應制科，對策高第，拜朝散郎(據徐松《<a href='https://cnkgraph.com/Book/2797' target='_blank'>登科記考</a>》卷二)。沛王李賢聞其名，召為府修撰，旋以戲檄英王雞被斥出府。總章二年(669)，入蜀漫游，詩文大進。咸亨四年(673)求補虢州參軍，因匿殺官奴獲罪，遇赦除名。上元二年(675)秋，赴交趾省父。次年秋，渡海墮水，驚悸而卒(據楊炯《王子安集序》、劉汝霖《王子安年譜》)。生平見《<a href='https://cnkgraph.com/Book/2425' target='_blank'>舊唐書</a>》、《<a href='https://cnkgraph.com/Book/2326' target='_blank'>新唐書</a>》本傳。年譜多家，以清姚大榮《王子安年譜》較為完備。今人張志烈有《初唐四杰年譜》。王勃自覺反對沿襲六朝余波“爭構纖微，競為雕刻”之上官體詩，“思革其弊”，并由“四杰”之共同努力，終使“積年綺碎，一朝清廓，翰苑豁如，詞林增峻”(楊炯《王子安集序》)。其詩多抒發個人情志，亦有抨擊時弊之作。擅長五言律詩、五言絕句。風格清新秀麗。詩文集以清蔣清翊《<a href='https://cnkgraph.com/Book/3190' target='_blank'>王子安集注</a>》二十卷本為最通行。《<a href='https://cnkgraph.com/Book/2484' target='_blank'>全唐詩</a>》存詩2卷，《全唐詩外編》及《續拾》補詩16首又1句。",false
30,18262,唐诗汇评,王勃（650-676），字子安，绛州龙门（今山西河津）人。文中子王通之孙。未及冠，应幽素举及第。高宗乾封中，召为沛王府修撰，因戏撰《檄英王鸡文》，高宗斥之。客剑南。咸亨四年，补虢州参军。坐事当死，遇漱，革职，其父亦受寒左迁交趾令。上元二年，勃往省父，次年渡南海时溺水，惊悸而死。勃聪慧，早有文名，与杨炯、卢照邻、骆宾王齐名，并你“四杰”。其诗格调高华，在仍被齐梁浮靡诗风策罩的初唐，显示出转变的趋势。有《王勃集》三十卷，已佚（残卷存日本）。今《<a href='https://cnkgraph.com/Book/2328' target='_blank'>王子安集</a>》十六卷乃明张夑所辑。《<a href='https://cnkgraph.com/Book/2484' target='_blank'>全唐诗</a>》编诗二卷。清蒋清翊有《<a href='https://cnkgraph.com/Book/3190' target='_blank'>王子安集注</a>》二十卷。,false
31,18262,《唐诗品》,子安早握玄珠，天然艳发，登高而赋，钟石毕陈。盖其上薄云天之气，下缠幽寂之忿，蓄以疏才，发以盛藻，直举胸臆，俯瞰前古，宜其无可为节也。,true
32,18262,张逊业《校正王勃集序》,王子才富丽径捷，称罕一时，赋与七言古诗，可谓独步；然律及诸作，未脱六朝沿染，而沉思工致，亦未易及也，,true
33,18262,《诗薮》,齐、梁、陈、隋五言古，唐律诗之未成者；七言古，唐歌行之未成者。王、卢出，而歌行咸中矩度矣；沈、宋出，而近体悉协宫商矣。至高、岑而后有气，王、孟而后有韵，李、杜而后入化。,true
34,18262,《诗薮》,大历之还，易空疏而难典瞻；景龙之际，难雅洁而易浮华。盖齐、梁代降，沿袭绮靡，非大有神情，胡能荡涤？唐初五言律，惟王勃“送送多穷路”、“城阙辅三秦”等作，终篇不著景物，而兴象宛然，气骨苍然，实首启盛，中妙境。五言绝亦舒写悲凉，洗削流调。究其才力，自是唐人开山祖。拾遗、吏部，并极虚怀，非溢美也。,true
35,18262,《诗薮》,唐初五言绝，子安诸作已入妙境。七言初变梁、陈，音律未谐，韵度尚乏。,true
36,18262,《诗镜总论》,王勃高华，杨炯雄厚，照邻清藻，宾王坦易，子安其最杰乎？调入初唐，时带六朝锦色。,true
37,18262,《唐音癸签》,王子安虽不废藻饰，如璞含珠媚，自然发其彩光。,true
38,18262,《诗源辨体》,七言古自梁简文、陈、隋诸公始，进而为王、卢、骆三子。三子偶丽极工，绮艳变为富丽，然调犹未纯，语犹未畅，其风格虽优，而气象不足。……然析而论之，王长篇虽少，而稍见错综，与卢、骆体制少异。,true
