id,name,type,aliases,desc,writing_count
359,三奠子,Ping,,调见元好问《锦机集》。按崔令钦《教坊记》有《奠璧子》小曲，此或即奠酒、奠声、奠璧为三奠，取以名词也。,13
360,凤凰阁,Ze,数花风,高拭词注“商调”。张炎词有“渐数花风第一”句，名《数花风》。,24
361,看花回,Ping,,琴曲有《看花回》，调名本此。此调有两体，六十八字者始自柳永，《乐章集》注“大石调”，《中原音韵》注“越调”，无别首宋词可校。一百一字者始自黄庭坚，有周邦彦、蔡伸、赵彦端诸词可校。,32
362,殢人娇,Ze,,《乐章集》注“林钟商”。,65
363,两同心,Ze,,此调有三体，仄韵者创自柳永，《乐章集》注“大石调”。平韵者创自晏几道。三声叶韵者创自杜安世。,35
364,拾翠羽,Ze,,《洛神赋》：“或拾翠羽”，调名取此。,4
365,连理枝,Ze,红娘子|小桃红|灼灼花,《尊前集》注“黄钟宫”。《宋史·乐志》：“琵琶曲，蕤宾调。”程垓词名《红娘子》。刘过词名《小桃红》，又名《灼灼花》。,96
366,月上海棠,Ze,玉关遥|月上海棠慢,此调有两体，七十字者见《梅苑》无名氏词，金词注“双调”。陆游词有“几曾传玉关遥信”句，更名《玉关遥》。九十一字者，见姜夔《白石词》，注“夹钟商”。曹勋词名《月上海棠慢》。,45
367,惜黄花,Ze,,调见《梅溪词》，金词注“仙吕调”。,26
368,且坐令,Ze,,调见《东浦词》。,3
369,佳人醉,Ze,,《乐章集》注“双调”。,6
370,西施,Ping,,《乐章集》注“仙吕调”。,14
371,小镇西犯,Ze,小镇西|镇西,唐教坊曲有《镇西子》，唐乐府亦有《镇西》七言绝句诗，此盖以旧曲名，另创新声也。《乐章集》有两调，七十一字者名《小镇西犯》，七十九字者名《小镇西》，或名《镇西》，俱注“仙吕调”。,10
372,千秋岁,Ze,千秋节,《宋史·乐志》：“歇指调”。金词注“中吕调”。一名《千秋节》。,214
