id,writing_id,allusion_index,allusion_key,sentence_index
1194,36520,,,1
1195,36520,,,8
1196,36520,,,6
1197,36532,,,3
1198,36532,,,3
1199,36532,,,4
1200,36532,,,4
1201,36537,,,2
1202,36537,,,2
1203,36528,,,3
1204,36540,,,5
1205,36376,,,0
1206,36535,,,1
1207,36558,,,7
1208,36558,,,7
1209,36558,,,0
1210,36523,,,1
1211,36523,,,3
1212,36514,,,1
1213,36514,,,1
1214,28446,,,3
1215,28431,,,3
1216,28444,,,3
1217,28444,,,1
1218,28445,,,2
1219,28451,,,0
1220,28451,,,3
1221,28425,,,1
1222,28473,,,0
1223,28474,,,3
1224,28474,,,2
1225,28474,,,3
1226,28474,,,0
1227,28454,,,5
1228,28467,,,9
1229,28467,,,9
1230,28460,,,5
1231,28460,,,1
1232,28505,,,5
1233,28505,,,9
1234,28505,,,3
1235,28505,,,3
1236,28472,,,4
1237,28525,,,7
1238,28480,,,0
1239,28480,,,4
1240,28480,,,0
1241,28480,,,7
1242,28541,,,11
1243,28541,,,6
1244,28542,,,2
1245,28542,,,9
1246,28526,,,13
1247,28526,,,3
1248,28526,,,4
1249,28526,,,-1
1250,28515,,,5
1251,28508,,,6
1252,28508,,,7
1253,28508,,,7
1254,28513,,,1
1255,28539,,,3
1256,28539,,,12
1257,28520,,,5
1258,28540,,,5
1259,28538,,,2
1260,28528,,,0
1261,28496,,,2
1262,28496,,,5
1263,28479,,,6
1264,28484,,,1
1265,28484,,,1
1266,28484,,,3
1267,28501,,,1
1268,28501,,,8
1269,28501,,,3
1270,28501,,,8
1271,28501,,,1
1272,28514,,,1
1273,28506,,,7
1274,28506,,,5
1275,28503,,,1
1276,28490,,,13
1277,28490,,,11
1278,28490,,,5
1279,28490,,,-1
1280,28490,,,13
1281,50596,,,3
1282,50595,,,1
1283,50591,,,3
1284,50593,,,3
1285,50589,,,2
1286,50600,,,2
1287,50600,,,3
1288,41268,,,3
1289,41260,,,3
1290,41267,,,3
1291,41267,,,0
1292,41263,,,3
1293,41263,,,3
1294,41272,,,5
1295,41274,,,1
1296,41274,,,1
1297,41275,,,1
1298,41275,,,3
1299,41275,,,3
1300,41275,,,1
1301,41277,,,0
1302,41278,,,3
1303,41280,,,0
1304,46486,,,0
1305,46484,,,2
1306,46483,,,3
1307,46476,,,1
1308,46473,,,1
1309,46477,,,0
1310,46514,,,3
1311,46514,,,3
1312,46514,,,2
1313,46522,,,1
1314,46517,,,5
1315,46510,,,2
1316,46524,,,6
1317,46498,,,1
1318,46519,,,1
1319,46508,,,10
1320,46490,,,10
1321,46500,,,2
1322,46492,,,1
1323,46523,,,3
1324,8645,,,0
1325,8636,,,0
1326,8627,,,3
1327,8621,,,1
1328,8622,,,1
1329,8562,,,1
1330,8555,,,1
1331,8571,,,1
1332,8594,,,0
1333,8615,,,1
1334,8599,,,1
1335,8687,,,8
1336,8688,,,14
1337,8727,,,5
1338,8658,,,-1
1339,8666,,,12
1340,8722,,,11
1341,8722,,,5
1342,8722,,,9
1343,8673,,,5
1344,8665,,,3
1345,8665,,,15
1346,8715,,,6
1347,8699,,,10
1348,8649,,,2
1349,8716,,,4
1350,8716,,,4
1351,8716,,,7
1352,8684,,,6
1353,8676,,,-1
1354,8676,,,1
1355,8674,,,6
1356,8696,,,4
1357,8696,,,4
1358,8696,,,1
1359,8737,,,0
1360,8685,,,3
1361,8708,,,7
1362,8581,,,1
1363,8659,,,5
1364,8659,,,5
1365,8630,,,3
1366,8730,,,-1
1367,46393,,,3
1368,46393,,,2
1369,46393,,,2
1370,46400,,,1
1371,46400,,,2
1372,46404,,,0
1373,45549,,,3
1374,45541,,,3
1375,45541,,,3
1376,45545,,,2
1377,45523,,,3
1378,45523,,,3
1379,45528,,,3
1380,45511,,,3
1381,45525,,,3
1382,45508,,,1
1383,45532,,,3
1384,45537,,,2
1385,45497,,,3
1386,45514,,,0
1387,45527,,,3
1388,45538,,,3
1389,45548,,,3
1390,45548,,,1
1391,45548,,,1
1392,45530,,,0
1393,45500,,,0
1394,45500,,,3
1395,45500,,,0
1396,45504,,,2
1397,45504,,,0
1398,45504,,,0
1399,45495,,,3
1400,45519,,,3
1401,45577,,,2
1402,45498,,,3
1403,45524,,,2
1404,45524,,,2
1405,45482,,,-1
1406,45476,,,1
1407,45483,,,1
1408,45474,,,1
1409,45475,,,1
1410,45551,,,2
1411,45551,,,4
1412,45551,,,5
1413,45551,,,2
1414,45551,,,9
1415,45558,,,17
1416,45558,,,17
1417,45567,,,8
1418,45567,,,7
1419,45567,,,10
1420,45567,,,15
1421,45567,,,4
1422,45561,,,11
1423,45561,,,27
1424,45561,,,27
1425,45561,,,5
1426,45561,,,11
1427,45561,,,5
1428,45561,,,28
1429,45561,,,28
1430,45550,,,10
1431,45550,,,5
1432,45550,,,17
1433,45550,,,5
1434,45550,,,15
1435,45550,,,17
1436,45550,,,6
1437,45550,,,10
1438,45568,,,1
1439,45568,,,26
1440,45568,,,6
1441,45568,,,23
1442,45568,,,7
1443,45568,,,27
1444,45568,,,3
1445,45568,,,6
1446,45568,,,3
1447,45568,,,23
1448,45576,,,8
1449,45576,,,7
1450,45576,,,7
1451,45576,,,6
1452,45559,,,7
1453,45559,,,5
1454,45559,,,5
1455,45658,,,7
